Location,Region,TL,TR,reporting_date,sCh,cCh,deaths,CFR
AFR::CMR::Littoral::Yabassi Health District,Littoral,2015-07-20,2015-07-26,2015-07-26,0,0,0,
AFR::CMR::East::Abong Mbang Health District,East,2015-07-20,2015-07-26,2015-07-26,0,0,0,
AFR::CMR::West::Mbouda Health District,West,2015-10-26,2015-11-01,2015-11-01,100,63,2,3.17
AFR::CMR::West::Mifi Health District,West,2015-10-26,2015-11-01,2015-11-01,0,0,0,
AFR::CMR::West::Penka Michel Health District,West,2015-10-26,2015-11-01,2015-11-01,0,0,0,
AFR::CMR::West::Santchou Health District,West,2015-10-26,2015-11-01,2015-11-01,0,0,0,
AFR::CMR::North-West::Ako Health District,North-West,2015-10-26,2015-11-01,2015-11-01,0,0,0,
AFR::CMR::Far North::(Maroua 1 Health District|Maroua 2 Health District|Maroua 3 Health District),Far North,2017-09-11,2017-09-17,2017-09-17,147,93,2,2.15
AFR::CMR::Adamaoua::Djohong Health District,Adamaoua,2016-07-04,2016-07-10,2016-07-10,0,0,0,
AFR::CMR::Adamaoua::Meiganga Health District,Adamaoua,2016-07-04,2016-07-10,2016-07-10,0,0,0,
AFR::CMR::Adamaoua::Ngaoundal Health District,Adamaoua,2016-07-04,2016-07-10,2016-07-10,0,0,0,
AFR::CMR::Adamaoua::Ngaoundere Rural Health District,Adamaoua,2016-07-04,2016-07-10,2016-07-10,0,0,0,
AFR::CMR::Adamaoua::Ngaoundere Urban Health District,Adamaoua,2016-07-04,2016-07-10,2016-07-10,0,0,0,
AFR::CMR::Adamaoua::Tibati Health District,Adamaoua,2016-07-04,2016-07-10,2016-07-10,0,0,0,
AFR::CMR::Centre::Saa Health District,Centre,2010-04-19,2010-04-25,2010-04-25,0,0,0,
AFR::CMR::Centre::Soa Health District,Centre,2010-04-19,2010-04-25,2010-04-25,0,0,0,
AFR::CMR::Centre::Djoungolo Health District,Centre,2010-04-19,2010-04-25,2010-04-25,0,0,0,
AFR::CMR::Far North::Makary Health District,Far North,2017-09-11,2017-09-17,2017-09-17,0,0,0,
AFR::CMR::Far North::Meri Health District,Far North,2017-09-11,2017-09-17,2017-09-17,0,0,0,
AFR::CMR::Far North::Mogode Health District,Far North,2017-09-11,2017-09-17,2017-09-17,0,0,0,
AFR::CMR::Far North::Mokolo Health District,Far North,2017-09-11,2017-09-17,2017-09-17,0,0,0,
AFR::CMR::West::Bamendjou Health District,West,2018-10-22,2018-10-28,2018-10-28,0,0,0,
AFR::CMR::West::Bandja Health District,West,2018-10-22,2018-10-28,2018-10-28,0,0,0,
AFR::CMR::West::Batcham Health District,West,2018-10-22,2018-10-28,2018-10-28,0,0,0,
AFR::CMR::West::Dschang Health District,West,2018-10-22,2018-10-28,2018-10-28,0,0,0,
AFR::CMR::West::Fontem Health District,West,2018-10-22,2018-10-28,2018-10-28,0,0,0,
AFR::CMR::South-West::Eyumodjock Health District,South-West,2016-11-14,2016-11-20,2016-11-20,0,0,0,
AFR::CMR::South-West::Fontem Health District,South-West,2016-11-14,2016-11-20,2016-11-20,0,0,0,
AFR::CMR::South-West::Konye Health District,South-West,2016-11-14,2016-11-20,2016-11-20,0,0,0,
AFR::CMR::South-West::Kumba Health District,South-West,2016-11-14,2016-11-20,2016-11-20,0,0,0,
AFR::CMR::Littoral::Bangue Health District,Littoral,2014-10-27,2014-11-02,2014-11-02,0,0,0,
AFR::CMR::Centre::Ebebda Health District,Centre,2016-04-18,2016-04-24,2016-04-24,0,0,0,
AFR::CMR::Centre::Efoulan Health District,Centre,2016-04-18,2016-04-24,2016-04-24,66,0,0,
AFR::CMR::Centre::Elig Mfomo Health District,Centre,2016-04-18,2016-04-24,2016-04-24,0,0,0,
AFR::CMR::Centre::Eseka Health District,Centre,2016-04-18,2016-04-24,2016-04-24,27,10,0,0.0
AFR::CMR::Centre::Esse Health District,Centre,2016-04-18,2016-04-24,2016-04-24,0,0,0,
AFR::CMR::Centre::Evodoula Health District,Centre,2016-04-18,2016-04-24,2016-04-24,0,0,0,
AFR::CMR::Centre::Mbalmayo Health District,Centre,2016-04-18,2016-04-24,2016-04-24,0,0,0,
AFR::CMR::Centre::Ntui Health District,Centre,2018-01-08,2018-01-14,2018-01-14,0,0,0,
AFR::CMR::Centre::Obala Health District,Centre,2018-01-08,2018-01-14,2018-01-14,0,0,0,
AFR::CMR::Centre::Okola Health District,Centre,2018-01-08,2018-01-14,2018-01-14,0,0,0,
AFR::CMR::Centre::Saa Health District,Centre,2018-01-08,2018-01-14,2018-01-14,0,0,0,
AFR::CMR::Centre::Soa Health District,Centre,2018-01-08,2018-01-14,2018-01-14,0,0,0,
AFR::CMR::South-West::Ekondo Titi Health District,South-West,2017-05-22,2017-05-28,2017-05-28,0,0,0,
AFR::CMR::North-West::Kumbo West Health District,North-West,2015-06-08,2015-06-14,2015-06-14,0,0,0,
AFR::CMR::North-West::Mbengwi Health District,North-West,2015-06-08,2015-06-14,2015-06-14,0,0,0,
AFR::CMR::North-West::Ndop Health District,North-West,2015-06-08,2015-06-14,2015-06-14,0,0,0,
AFR::CMR::North-West::Ndu Health District,North-West,2015-06-08,2015-06-14,2015-06-14,0,0,0,
AFR::CMR::West::Foumban Health District,West,2018-10-22,2018-10-28,2018-10-28,0,0,0,
AFR::CMR::West::Foumbot Health District,West,2018-10-22,2018-10-28,2018-10-28,0,0,0,
AFR::CMR::West::Kekem Health District,West,2018-10-22,2018-10-28,2018-10-28,0,0,0,
AFR::CMR::West::Malantouen Health District,West,2018-10-22,2018-10-28,2018-10-28,0,0,0,
AFR::CMR::West::Mbouda Health District,West,2018-10-22,2018-10-28,2018-10-28,0,0,0,
AFR::CMR::West::Mifi Health District,West,2018-10-22,2018-10-28,2018-10-28,0,0,0,
AFR::CMR::West::Penka Michel Health District,West,2018-10-22,2018-10-28,2018-10-28,0,0,0,
AFR::CMR::West::Bangourain Health District,West,2015-04-13,2015-04-19,2015-04-19,0,0,0,
AFR::CMR::Centre::Bafia Health District,Centre,2013-12-23,2013-12-29,2013-12-29,0,0,0,
AFR::CMR::Centre::Ebebda Health District,Centre,2013-12-23,2013-12-29,2013-12-29,0,0,0,
AFR::CMR::Littoral::Abo Health District,Littoral,2016-09-12,2016-09-18,2016-09-18,13,5,0,0.0
AFR::CMR::Littoral::Bangue Health District,Littoral,2016-09-12,2016-09-18,2016-09-18,136,87,2,2.3
AFR::CMR::Littoral::Boko Health District,Littoral,2016-09-12,2016-09-18,2016-09-18,0,0,0,
AFR::CMR::Littoral::Bonassama Health District,Littoral,2016-09-12,2016-09-18,2016-09-18,28,0,0,
AFR::CMR::Littoral::Cite des palmiers Health District,Littoral,2016-09-12,2016-09-18,2016-09-18,0,0,0,
AFR::CMR::Littoral::Deido Health District,Littoral,2016-09-12,2016-09-18,2016-09-18,0,0,0,
AFR::CMR::Littoral::Dibombari Health District,Littoral,2016-09-12,2016-09-18,2016-09-18,0,0,0,
AFR::CMR::North-West::Batibo Health District,North-West,2015-10-26,2015-11-01,2015-11-01,97,32,0,0.0
AFR::CMR::North-West::Benakuma Health District,North-West,2015-10-26,2015-11-01,2015-11-01,0,0,0,
AFR::CMR::North-West::Fundong Health District,North-West,2015-10-26,2015-11-01,2015-11-01,0,0,0,
AFR::CMR::North-West::Kumbo East Health District,North-West,2015-10-26,2015-11-01,2015-11-01,0,0,0,
AFR::CMR::Far North::Yagoua Health District,Far North,2010-02-22,2010-02-28,2010-02-28,0,0,0,
AFR::CMR::Centre::Akonolinga Health District,Centre,2010-02-22,2010-02-28,2010-02-28,0,0,0,
AFR::CMR::North::Garoua 1 Health District,North,2014-03-17,2014-03-23,2014-03-23,0,0,0,
AFR::CMR::North::Garoua 2 Health District,North,2014-03-17,2014-03-23,2014-03-23,0,0,0,
AFR::CMR::North::Gaschiga Health District,North,2014-03-17,2014-03-23,2014-03-23,0,0,0,
AFR::CMR::North::Golombe Health District,North,2014-03-17,2014-03-23,2014-03-23,0,0,0,
AFR::CMR::North::Guider Health District,North,2014-03-17,2014-03-23,2014-03-23,0,0,0,
AFR::CMR::North::Lagdo Health District,North,2014-03-17,2014-03-23,2014-03-23,0,0,0,
AFR::CMR::North::Mayo Oulo Health District,North,2014-03-17,2014-03-23,2014-03-23,59,15,0,0.0
AFR::CMR::East::Betare Oya Health District,East,2013-10-21,2013-10-27,2013-10-27,7,4,0,0.0
AFR::CMR::East::Doume Health District,East,2013-10-21,2013-10-27,2013-10-27,0,0,0,
AFR::CMR::East::Garoua Boulai Health District,East,2013-10-21,2013-10-27,2013-10-27,0,0,0,
AFR::CMR::East::Kette Health District,East,2013-10-21,2013-10-27,2013-10-27,0,0,0,
AFR::CMR::East::Mbang Health District,East,2013-10-21,2013-10-27,2013-10-27,0,0,0,
AFR::CMR::East::Messamena Health District,East,2013-10-21,2013-10-27,2013-10-27,126,56,1,1.79
AFR::CMR::West::Penka Michel Health District,West,2014-07-14,2014-07-20,2014-07-20,0,0,0,
AFR::CMR::West::Santchou Health District,West,2014-07-14,2014-07-20,2014-07-20,0,0,0,
AFR::CMR::North-West::Ako Health District,North-West,2014-07-14,2014-07-20,2014-07-20,0,0,0,
AFR::CMR::North-West::Bafut Health District,North-West,2014-07-14,2014-07-20,2014-07-20,0,0,0,
AFR::CMR::North-West::Bali Health District,North-West,2014-07-14,2014-07-20,2014-07-20,0,0,0,
AFR::CMR::North-West::Bamenda Health District,North-West,2014-07-14,2014-07-20,2014-07-20,0,0,0,
AFR::CMR::North-West::Batibo Health District,North-West,2014-07-14,2014-07-20,2014-07-20,0,0,0,
AFR::CMR::Far North::Maga Health District,Far North,2018-05-28,2018-06-03,2018-06-03,0,0,0,
AFR::CMR::Far North::Makary Health District,Far North,2018-05-28,2018-06-03,2018-06-03,0,0,0,
AFR::CMR::Far North::Maroua 1 Health District,Far North,2018-05-28,2018-06-03,2018-06-03,0,0,0,
AFR::CMR::Far North::Maroua 2 Health District,Far North,2018-05-28,2018-06-03,2018-06-03,0,0,0,
AFR::CMR::South-West::Eyumodjock Health District,South-West,2017-05-22,2017-05-28,2017-05-28,0,0,0,
AFR::CMR::South-West::Fontem Health District,South-West,2017-05-22,2017-05-28,2017-05-28,0,0,0,
AFR::CMR::South-West::Konye Health District,South-West,2017-05-22,2017-05-28,2017-05-28,13,9,0,0.0
AFR::CMR::South-West::Kumba Health District,South-West,2017-05-22,2017-05-28,2017-05-28,0,0,0,
AFR::CMR::South-West::Limbe Health District,South-West,2017-05-22,2017-05-28,2017-05-28,0,0,0,
AFR::CMR::South-West::Mamfe Health District,South-West,2017-05-22,2017-05-28,2017-05-28,0,0,0,
AFR::CMR::South-West::Mbonge Health District,South-West,2017-05-22,2017-05-28,2017-05-28,0,0,0,
AFR::CMR::South-West::Bangem Health District,South-West,2010-07-19,2010-07-25,2010-07-25,0,0,0,
AFR::CMR::South-West::Buea Health District,South-West,2010-07-19,2010-07-25,2010-07-25,0,0,0,
AFR::CMR::North-West::Tubah Health District,North-West,2015-12-14,2015-12-20,2015-12-20,0,0,0,
AFR::CMR::North-West::Wum Health District,North-West,2015-12-14,2015-12-20,2015-12-20,0,0,0,
AFR::CMR::North::Bibemi Health District,North,2015-12-14,2015-12-20,2015-12-20,0,0,0,
AFR::CMR::North::Figuil Health District,North,2015-12-14,2015-12-20,2015-12-20,0,0,0,
AFR::CMR::Centre::Ntui Health District,Centre,2013-02-25,2013-03-03,2013-03-03,0,0,0,
AFR::CMR::West::Dschang Health District,West,2011-03-28,2011-04-03,2011-04-03,0,0,0,
AFR::CMR::West::Galim Health District,West,2011-03-28,2011-04-03,2011-04-03,0,0,0,
AFR::CMR::West::Kekem Health District,West,2011-03-28,2011-04-03,2011-04-03,95,53,1,1.89
AFR::CMR::West::Malantouen Health District,West,2011-03-28,2011-04-03,2011-04-03,0,0,0,
AFR::CMR::West::Massangam Health District,West,2011-03-28,2011-04-03,2011-04-03,0,0,0,
AFR::CMR::West::Mbouda Health District,West,2011-03-28,2011-04-03,2011-04-03,0,0,0,
AFR::CMR::North-West::Kumbo West Health District,North-West,2013-05-27,2013-06-02,2013-06-02,0,0,0,
AFR::CMR::North-West::Mbengwi Health District,North-West,2013-05-27,2013-06-02,2013-06-02,0,0,0,
AFR::CMR::North-West::Ndop Health District,North-West,2013-05-27,2013-06-02,2013-06-02,82,43,1,2.33
AFR::CMR::North-West::Ndu Health District,North-West,2013-05-27,2013-06-02,2013-06-02,0,0,0,
AFR::CMR::North-West::Njikwa Health District,North-West,2013-05-27,2013-06-02,2013-06-02,38,0,0,
AFR::CMR::Centre::Nkolndongo Health District,Centre,2018-01-08,2018-01-14,2018-01-14,0,0,0,
AFR::CMR::South-West::Mundemba Health District,South-West,2016-11-14,2016-11-20,2016-11-20,0,0,0,
AFR::CMR::South-West::Muyuka Health District,South-West,2016-11-14,2016-11-20,2016-11-20,0,0,0,
AFR::CMR::South-West::Nguti Health District,South-West,2016-11-14,2016-11-20,2016-11-20,0,0,0,
AFR::CMR::East::Nguelemendouka Health District,East,2014-09-08,2014-09-14,2014-09-14,46,0,0,
AFR::CMR::East::Yokadouma Health District,East,2014-09-08,2014-09-14,2014-09-14,0,0,0,
AFR::CMR::Far North::Bogo Health District,Far North,2014-09-08,2014-09-14,2014-09-14,0,0,0,
AFR::CMR::Far North::Bourha Health District,Far North,2014-09-08,2014-09-14,2014-09-14,0,0,0,
AFR::CMR::West::Foumban Health District,West,2010-03-15,2010-03-21,2010-03-21,0,0,0,
AFR::CMR::West::Foumbot Health District,West,2010-03-15,2010-03-21,2010-03-21,0,0,0,
AFR::CMR::West::Galim Health District,West,2010-03-15,2010-03-21,2010-03-21,0,0,0,
AFR::CMR::South-West::Wabane Health District,South-West,2014-05-26,2014-06-01,2014-06-01,0,0,0,
AFR::CMR::Far North::Roua Health District,Far North,2017-09-11,2017-09-17,2017-09-17,0,0,0,
AFR::CMR::Far North::Tokombere Health District,Far North,2017-09-11,2017-09-17,2017-09-17,0,0,0,
AFR::CMR::Far North::Vele Health District,Far North,2017-09-11,2017-09-17,2017-09-17,29,18,0,0.0
AFR::CMR::Far North::Yagoua Health District,Far North,2017-09-11,2017-09-17,2017-09-17,0,0,0,
AFR::CMR::Centre::Akonolinga Health District,Centre,2017-09-11,2017-09-17,2017-09-17,0,0,0,
AFR::CMR::South-West::Kumba Health District,South-West,2017-02-13,2017-02-19,2017-02-19,0,0,0,
AFR::CMR::South-West::Limbe Health District,South-West,2017-02-13,2017-02-19,2017-02-19,0,0,0,
AFR::CMR::South-West::Mamfe Health District,South-West,2017-02-13,2017-02-19,2017-02-19,0,0,0,
AFR::CMR::South-West::Mbonge Health District,South-West,2017-02-13,2017-02-19,2017-02-19,0,0,0,
AFR::CMR::South-West::Mundemba Health District,South-West,2017-02-13,2017-02-19,2017-02-19,24,0,0,
AFR::CMR::South-West::Muyuka Health District,South-West,2017-02-13,2017-02-19,2017-02-19,0,0,0,
AFR::CMR::South-West::Nguti Health District,South-West,2017-02-13,2017-02-19,2017-02-19,0,0,0,
AFR::CMR::Far North::Mogode Health District,Far North,2018-05-28,2018-06-03,2018-06-03,0,0,0,
AFR::CMR::South-West::Wabane Health District,South-West,2016-11-14,2016-11-20,2016-11-20,0,0,0,
AFR::CMR::South::Ambam Health District,South,2016-11-14,2016-11-20,2016-11-20,0,0,0,
AFR::CMR::South::Djoum Health District,South,2016-11-14,2016-11-20,2016-11-20,0,0,0,
AFR::CMR::South::Ebolowa Health District,South,2016-11-14,2016-11-20,2016-11-20,0,0,0,
AFR::CMR::South::Kribi Health District,South,2016-11-14,2016-11-20,2016-11-20,0,0,0,
AFR::CMR::Littoral::New Bell Health District,Littoral,2015-02-23,2015-03-01,2015-03-01,0,0,0,
AFR::CMR::Littoral::Ngambe Health District,Littoral,2015-02-23,2015-03-01,2015-03-01,0,0,0,
AFR::CMR::Littoral::Njombe penja Health District,Littoral,2015-02-23,2015-03-01,2015-03-01,0,0,0,
AFR::CMR::Littoral::Nkondjock Health District,Littoral,2015-02-23,2015-03-01,2015-03-01,0,0,0,
AFR::CMR::Littoral::Nkongsamba Health District,Littoral,2015-02-23,2015-03-01,2015-03-01,0,0,0,
AFR::CMR::Littoral::Nylon Health District,Littoral,2015-02-23,2015-03-01,2015-03-01,0,0,0,
AFR::CMR::Centre::Mbandjock Health District,Centre,2016-04-18,2016-04-24,2016-04-24,0,0,0,
AFR::CMR::Centre::Mbankomo Health District,Centre,2016-04-18,2016-04-24,2016-04-24,100,26,1,3.85
AFR::CMR::Adamaoua::(Ngaoundere Rural Health District|Ngaoundere Urban Health District),Adamaoua,2018-01-08,2018-01-14,2018-01-14,0,0,0,
AFR::CMR::West::Mifi Health District,West,2015-04-13,2015-04-19,2015-04-19,0,0,0,
AFR::CMR::West::Penka Michel Health District,West,2015-04-13,2015-04-19,2015-04-19,0,0,0,
AFR::CMR::East::Batouri Health District,East,2015-07-20,2015-07-26,2015-07-26,0,0,0,
AFR::CMR::East::Bertoua Health District,East,2015-07-20,2015-07-26,2015-07-26,18,11,0,0.0
AFR::CMR::East::Betare Oya Health District,East,2015-07-20,2015-07-26,2015-07-26,0,0,0,
AFR::CMR::East::Doume Health District,East,2015-07-20,2015-07-26,2015-07-26,0,0,0,
AFR::CMR::Adamaoua::Meiganga Health District,Adamaoua,2018-01-08,2018-01-14,2018-01-14,0,0,0,
AFR::CMR::Adamaoua::Tibati Health District,Adamaoua,2018-01-08,2018-01-14,2018-01-14,0,0,0,
AFR::CMR::Adamaoua::Tignere Health District,Adamaoua,2018-01-08,2018-01-14,2018-01-14,0,0,0,
AFR::CMR::West::Bafoussam Health District,West,2018-01-01,2018-01-07,2018-01-07,0,0,0,
AFR::CMR::Far North::Fotokol Health District,Far North,2018-01-01,2018-01-07,2018-01-07,0,0,0,
AFR::CMR::South-West::Akwaya Health District,South-West,2018-01-01,2018-01-07,2018-01-07,0,0,0,
AFR::CMR::East::Doume Health District,East,2016-02-15,2016-02-21,2016-02-21,0,0,0,
AFR::CMR::East::Garoua Boulai Health District,East,2016-02-15,2016-02-21,2016-02-21,0,0,0,
AFR::CMR::East::Kette Health District,East,2016-02-15,2016-02-21,2016-02-21,0,0,0,
AFR::CMR::South-West::Buea Health District,South-West,2016-06-27,2016-07-03,2016-07-03,0,0,0,
AFR::CMR::South-West::Ekondo Titi Health District,South-West,2016-06-27,2016-07-03,2016-07-03,54,33,1,3.03
AFR::CMR::South-West::Eyumodjock Health District,South-West,2016-06-27,2016-07-03,2016-07-03,0,0,0,
AFR::CMR::South-West::Fontem Health District,South-West,2016-06-27,2016-07-03,2016-07-03,0,0,0,
AFR::CMR::South-West::Konye Health District,South-West,2016-06-27,2016-07-03,2016-07-03,0,0,0,
AFR::CMR::North::Garoua 2 Health District,North,2014-12-08,2014-12-14,2014-12-14,0,0,0,
AFR::CMR::North::Gaschiga Health District,North,2014-12-08,2014-12-14,2014-12-14,0,0,0,
AFR::CMR::North::Golombe Health District,North,2014-12-08,2014-12-14,2014-12-14,0,0,0,
AFR::CMR::North::Guider Health District,North,2014-12-08,2014-12-14,2014-12-14,0,0,0,
AFR::CMR::North::Lagdo Health District,North,2014-12-08,2014-12-14,2014-12-14,0,0,0,
AFR::CMR::Littoral::Pouma Health District,Littoral,2010-08-23,2010-08-29,2010-08-29,0,0,0,
AFR::CMR::Littoral::Yabassi Health District,Littoral,2010-08-23,2010-08-29,2010-08-29,0,0,0,
AFR::CMR::East::Batouri Health District,East,2010-08-23,2010-08-29,2010-08-29,0,0,0,
AFR::CMR::East::Bertoua Health District,East,2010-08-23,2010-08-29,2010-08-29,0,0,0,
AFR::CMR::East::Betare Oya Health District,East,2010-08-23,2010-08-29,2010-08-29,0,0,0,
AFR::CMR::East::Doume Health District,East,2010-08-23,2010-08-29,2010-08-29,0,0,0,
AFR::CMR::South-West::Akwaya Health District,South-West,2012-10-15,2012-10-21,2012-10-21,98,28,1,3.57
AFR::CMR::South-West::Bakassi Health District,South-West,2012-10-15,2012-10-21,2012-10-21,0,0,0,
AFR::CMR::South-West::Bangem Health District,South-West,2012-10-15,2012-10-21,2012-10-21,0,0,0,
AFR::CMR::South-West::Fontem Health District,South-West,2011-07-04,2011-07-10,2011-07-10,0,0,0,
AFR::CMR::South-West::Konye Health District,South-West,2011-07-04,2011-07-10,2011-07-10,0,0,0,
AFR::CMR::South-West::Mamfe Health District,South-West,2011-07-04,2011-07-10,2011-07-10,0,0,0,
AFR::CMR::South-West::Mbonge Health District,South-West,2011-07-04,2011-07-10,2011-07-10,0,0,0,
AFR::CMR::Adamaoua::Djohong Health District,Adamaoua,2012-09-17,2012-09-23,2012-09-23,0,0,0,
AFR::CMR::Adamaoua::Meiganga Health District,Adamaoua,2012-09-17,2012-09-23,2012-09-23,0,0,0,
AFR::CMR::South-West::Mamfe Health District,South-West,2012-11-19,2012-11-25,2012-11-25,0,0,0,
AFR::CMR::Far North::Goulfey Health District,Far North,2014-09-08,2014-09-14,2014-09-14,34,0,0,
AFR::CMR::Far North::Guere Health District,Far North,2014-09-08,2014-09-14,2014-09-14,0,0,0,
AFR::CMR::Far North::Guidiguis Health District,Far North,2014-09-08,2014-09-14,2014-09-14,120,0,0,
AFR::CMR::Far North::Kaele Health District,Far North,2014-09-08,2014-09-14,2014-09-14,0,0,0,
AFR::CMR::Far North::Kar Hay Health District,Far North,2014-09-08,2014-09-14,2014-09-14,0,0,0,
AFR::CMR::Far North::Kolofata Health District,Far North,2014-09-08,2014-09-14,2014-09-14,0,0,0,
AFR::CMR::West::Mbouda Health District,West,2013-07-22,2013-07-28,2013-07-28,0,0,0,
AFR::CMR::West::Mifi Health District,West,2013-07-22,2013-07-28,2013-07-28,0,0,0,
AFR::CMR::West::Penka Michel Health District,West,2013-07-22,2013-07-28,2013-07-28,0,0,0,
AFR::CMR::East::Garoua Boulai Health District,East,2010-08-23,2010-08-29,2010-08-29,0,0,0,
AFR::CMR::East::Kette Health District,East,2010-08-23,2010-08-29,2010-08-29,0,0,0,
AFR::CMR::East::Lomie Health District,East,2010-08-23,2010-08-29,2010-08-29,0,0,0,
AFR::CMR::South-West::Ekondo Titi Health District,South-West,2011-05-02,2011-05-08,2011-05-08,0,0,0,
AFR::CMR::South-West::Eyumodjock Health District,South-West,2011-05-02,2011-05-08,2011-05-08,0,0,0,
AFR::CMR::North-West::Ndop Health District,North-West,2015-10-26,2015-11-01,2015-11-01,0,0,0,
AFR::CMR::North-West::Ndu Health District,North-West,2015-10-26,2015-11-01,2015-11-01,54,0,0,
AFR::CMR::North-West::Benakuma Health District,North-West,2014-07-14,2014-07-20,2014-07-20,0,0,0,
AFR::CMR::North-West::Fundong Health District,North-West,2014-07-14,2014-07-20,2014-07-20,0,0,0,
AFR::CMR::South-West::Buea Health District,South-West,2018-01-01,2018-01-07,2018-01-07,0,0,0,
AFR::CMR::South-West::Dschang Health District,South-West,2018-01-01,2018-01-07,2018-01-07,0,0,0,
AFR::CMR::South-West::Ekondo Titi Health District,South-West,2018-01-01,2018-01-07,2018-01-07,0,0,0,
AFR::CMR::South-West::Kumba Health District,South-West,2018-01-01,2018-01-07,2018-01-07,0,0,0,
AFR::CMR::Centre::Nkolndongo Health District,Centre,2010-11-08,2010-11-14,2010-11-14,35,0,0,
AFR::CMR::Centre::Biyem Assi Health District,Centre,2010-11-08,2010-11-14,2010-11-14,0,0,0,
AFR::CMR::South-West::Mundemba Health District,South-West,2017-05-22,2017-05-28,2017-05-28,99,65,2,3.08
AFR::CMR::Littoral::Boko Health District,Littoral,2014-10-27,2014-11-02,2014-11-02,0,0,0,
AFR::CMR::Littoral::Japoma Health District,Littoral,2014-10-27,2014-11-02,2014-11-02,0,0,0,
AFR::CMR::Littoral::Njombe penja Health District,Littoral,2014-10-27,2014-11-02,2014-11-02,0,0,0,
AFR::CMR::South-West::Kumba Health District,South-West,2016-06-27,2016-07-03,2016-07-03,0,0,0,
AFR::CMR::South-West::Limbe Health District,South-West,2016-06-27,2016-07-03,2016-07-03,0,0,0,
AFR::CMR::West::Santchou Health District,West,2010-12-13,2010-12-19,2010-12-19,0,0,0,
AFR::CMR::Adamaoua::Ngaoundere Rural Health District,Adamaoua,2014-02-03,2014-02-09,2014-02-09,0,0,0,
AFR::CMR::Adamaoua::Ngaoundere Urban Health District,Adamaoua,2014-02-03,2014-02-09,2014-02-09,0,0,0,
AFR::CMR::East::Lomie Health District,East,2013-04-01,2013-04-07,2013-04-07,0,0,0,
AFR::CMR::Littoral::Nkongsamba Health District,Littoral,2013-11-18,2013-11-24,2013-11-24,0,0,0,
AFR::CMR::North::Figuil Health District,North,2018-10-22,2018-10-28,2018-10-28,0,0,0,
AFR::CMR::North::Garoua 2 Health District,North,2018-10-22,2018-10-28,2018-10-28,0,0,0,
AFR::CMR::North::Gaschiga Health District,North,2018-10-22,2018-10-28,2018-10-28,0,0,0,
AFR::CMR::Far North::(Maroua 1 Health District|Maroua 2 Health District|Maroua 3 Health District),Far North,2014-09-08,2014-09-14,2014-09-14,61,0,0,
AFR::CMR::Far North::Pette Health District,Far North,2014-09-08,2014-09-14,2014-09-14,0,0,0,
AFR::CMR::Far North::Roua Health District,Far North,2014-09-08,2014-09-14,2014-09-14,0,0,0,
AFR::CMR::Far North::Tokombere Health District,Far North,2014-09-08,2014-09-14,2014-09-14,0,0,0,
AFR::CMR::Far North::Hina Health District,Far North,2014-09-08,2014-09-14,2014-09-14,0,0,0,
AFR::CMR::Far North::Koza Health District,Far North,2014-09-08,2014-09-14,2014-09-14,80,44,2,4.55
AFR::CMR::Far North::Mokolo Health District,Far North,2014-09-08,2014-09-14,2014-09-14,0,0,0,
AFR::CMR::Far North::Mogode Health District,Far North,2014-09-08,2014-09-14,2014-09-14,26,8,0,0.0
AFR::CMR::Far North::Gazawa Health District,Far North,2014-09-08,2014-09-14,2014-09-14,0,0,0,
AFR::CMR::Centre::Akonolinga Health District,Centre,2014-09-08,2014-09-14,2014-09-14,0,0,0,
AFR::CMR::Centre::Awae Health District,Centre,2014-09-08,2014-09-14,2014-09-14,0,0,0,
AFR::CMR::South-West::Buea Health District,South-West,2012-10-15,2012-10-21,2012-10-21,0,0,0,
AFR::CMR::South-West::Ekondo Titi Health District,South-West,2012-10-15,2012-10-21,2012-10-21,0,0,0,
AFR::CMR::South-West::Eyumodjock Health District,South-West,2012-10-15,2012-10-21,2012-10-21,105,72,2,2.78
AFR::CMR::South-West::Fontem Health District,South-West,2012-10-15,2012-10-21,2012-10-21,0,0,0,
AFR::CMR::South-West::Konye Health District,South-West,2012-10-15,2012-10-21,2012-10-21,0,0,0,
AFR::CMR::South-West::Kumba Health District,South-West,2012-10-15,2012-10-21,2012-10-21,87,40,1,2.5
AFR::CMR::West::Santchou Health District,West,2013-07-22,2013-07-28,2013-07-28,0,0,0,
AFR::CMR::South-West::Tombel Health District,South-West,2017-02-13,2017-02-19,2017-02-19,0,0,0,
AFR::CMR::South-West::Wabane Health District,South-West,2017-02-13,2017-02-19,2017-02-19,0,0,0,
AFR::CMR::South::Ambam Health District,South,2017-02-13,2017-02-19,2017-02-19,0,0,0,
AFR::CMR::South::Djoum Health District,South,2017-02-13,2017-02-19,2017-02-19,0,0,0,
AFR::CMR::South::Ebolowa Health District,South,2017-02-13,2017-02-19,2017-02-19,0,0,0,
AFR::CMR::Littoral::Pouma Health District,Littoral,2015-02-23,2015-03-01,2015-03-01,0,0,0,
AFR::CMR::South::Lolodorf Health District,South,2017-02-13,2017-02-19,2017-02-19,0,0,0,
AFR::CMR::South::Sangmelima Health District,South,2016-11-14,2016-11-20,2016-11-20,0,0,0,
AFR::CMR::South::Meyomessala Health District,South,2017-02-13,2017-02-19,2017-02-19,37,24,0,0.0
AFR::CMR::South::Mvangan Health District,South,2017-02-13,2017-02-19,2017-02-19,0,0,0,
