reporting_date,TL,TR,sCh,cCh,deaths,CFR,Region
2022-04-24,4/18/2022,4/24/2022,102,51,1,1.9607843137254901,Cameroon
2022-05-01,4/25/2022,5/1/2022,589,73,2,2.73972602739726,Cameroon
2022-05-08,5/2/2022,5/8/2022,345,76,1,1.3157894736842104,Cameroon
2022-05-15,5/9/2022,5/15/2022,404,122,5,4.098360655737705,Cameroon
2022-05-22,5/16/2022,5/22/2022,157,64,0,0.0,Cameroon
2022-05-29,5/23/2022,5/29/2022,492,211,2,0.9478672985781991,Cameroon
2022-06-02,5/20/2022,6/2/2022,0,0,0,,Cameroon
2022-06-05,5/30/2022,6/5/2022,386,105,1,0.9523809523809524,Cameroon
2022-06-12,6/6/2022,6/12/2022,368,35,2,5.714285714285714,Cameroon
2022-06-19,6/13/2022,6/19/2022,176,28,1,3.571428571428571,Cameroon
2022-06-26,6/20/2022,6/26/2022,139,87,2,2.2988505747126435,Cameroon
2022-07-03,10/25/2021,7/3/2022,187,1,0,0.0,Cameroon
2022-07-03,6/27/2022,7/3/2022,340,140,2,1.4285714285714286,Cameroon
2022-08-03,7/17/2022,8/3/2022,0,0,0,,Cameroon
2022-09-08,8/29/2022,9/8/2022,447,213,7,3.286384976525822,Cameroon
2022-09-22,9/16/2022,9/22/2022,66,32,1,3.125,Cameroon
2022-10-13,10/7/2022,10/13/2022,293,115,6,5.217391304347826,Cameroon
2022-10-20,10/14/2022,10/20/2022,82,31,1,3.225806451612903,Cameroon
2022-10-20,10/25/2021,10/20/2022,6174,3994,64,1.6024036054081119,Cameroon
2022-10-21,10/10/2022,10/21/2022,176,0,0,,Cameroon
2022-11-03,10/28/2022,11/3/2022,246,144,5,3.4722222222222223,Cameroon
2022-11-10,11/4/2022,11/10/2022,94,20,0,0.0,Cameroon
2022-11-24,11/18/2022,11/24/2022,89,37,0,0.0,Cameroon
2022-12-08,12/2/2022,12/8/2022,71,18,0,0.0,Cameroon
2022-12-31,10/1/2021,12/31/2022,13438,5069,220,4.340106529887552,Cameroon
2023-01-05,12/30/2022,1/5/2023,75,7,0,0.0,Cameroon
