Region,reporting_date,TL,TR,sCh,cCh,deaths,CFR
Far North,2014-02-09,2014-02-03,2014-02-09,102,32,0,0.0
Far North,2014-02-16,2014-02-10,2014-02-16,130,47,1,2.127659574468085
Far North,2014-02-23,2014-02-17,2014-02-23,215,114,1,0.8771929824561403
Far North,2014-03-02,2014-02-24,2014-03-02,139,59,1,1.694915254237288
Far North,2014-03-09,2014-03-03,2014-03-09,151,65,2,3.076923076923077
Far North,2014-03-16,2014-03-10,2014-03-16,17,0,0,0.0
Far North,2014-03-23,2014-03-17,2014-03-23,78,34,2,5.88235294117647
Far North,2014-03-30,2014-03-24,2014-03-30,16,5,0,0.0
Far North,2014-04-06,2014-03-31,2014-04-06,0,0,0,0.0
Far North,2014-04-13,2014-04-07,2014-04-13,115,42,1,2.380952380952381
Far North,2014-04-20,2014-04-14,2014-04-20,241,57,0,0.0
Far North,2014-04-27,2014-04-21,2014-04-27,160,59,1,1.694915254237288
Far North,2014-07-24,2014-04-24,2014-07-24,1692,104,5,4.807692307692308
Far North,2014-05-04,2014-04-28,2014-05-04,438,84,1,1.1904761904761905
Far North,2014-05-11,2014-05-05,2014-05-11,769,154,4,2.5974025974025974
Far North,2014-05-18,2014-05-12,2014-05-18,216,35,1,2.857142857142857
Far North,2014-05-25,2014-05-19,2014-05-25,415,201,3,1.4925373134328357
Far North,2014-06-01,2014-05-26,2014-06-01,524,154,3,1.948051948051948
Far North,2014-06-08,2014-06-02,2014-06-08,515,137,2,1.45985401459854
Far North,2014-06-15,2014-06-09,2014-06-15,854,399,7,1.7543859649122806
Far North,2014-06-22,2014-06-16,2014-06-22,163,10,0,0.0
Far North,2014-06-29,2014-06-23,2014-06-29,490,130,1,0.7692307692307693
Far North,2014-07-06,2014-06-30,2014-07-06,873,246,9,3.658536585365853
Far North,2014-07-13,2014-07-07,2014-07-13,941,355,11,3.0985915492957745
Far North,2014-07-20,2014-07-14,2014-07-20,283,8,0,0.0
Far North,2014-07-27,2014-07-21,2014-07-27,838,337,8,2.373887240356084
Far North,2014-08-12,2014-07-25,2014-08-12,440,135,6,4.444444444444445
Far North,2014-08-03,2014-07-28,2014-08-03,701,297,9,3.0303030303030303
Far North,2014-08-10,2014-08-04,2014-08-10,1177,265,6,2.2641509433962264
Far North,2014-08-17,2014-08-11,2014-08-17,715,156,2,1.282051282051282
Far North,2014-08-24,2014-08-18,2014-08-24,578,164,4,2.4390243902439024
Far North,2014-08-31,2014-08-25,2014-08-31,1117,407,7,1.71990171990172
Far North,2014-09-07,2014-09-01,2014-09-07,747,252,4,1.5873015873015872
Far North,2014-09-14,2014-09-08,2014-09-14,424,52,2,3.8461538461538463
Far North,2014-09-21,2014-09-15,2014-09-21,422,141,6,4.25531914893617
Far North,2014-09-28,2014-09-22,2014-09-28,665,260,8,3.076923076923077
Far North,2014-10-05,2014-09-29,2014-10-05,1068,376,7,1.8617021276595744
Far North,2014-10-12,2014-10-06,2014-10-12,298,84,4,4.761904761904762
Far North,2014-10-19,2014-10-13,2014-10-19,673,333,10,3.003003003003003
Far North,2014-10-26,2014-10-20,2014-10-26,454,208,8,3.8461538461538463
Far North,2014-11-02,2014-10-27,2014-11-02,645,136,5,3.6764705882352944
Far North,2014-11-09,2014-11-03,2014-11-09,505,160,4,2.5
Far North,2014-11-16,2014-11-10,2014-11-16,287,49,0,0.0
Far North,2014-11-23,2014-11-17,2014-11-23,163,51,0,0.0
Far North,2014-11-30,2014-11-24,2014-11-30,268,141,2,1.4184397163120568
Far North,2014-12-07,2014-12-01,2014-12-07,133,47,0,0.0
Far North,2014-12-14,2014-12-08,2014-12-14,65,31,0,0.0
Far North,2014-12-21,2014-12-15,2014-12-21,64,33,0,0.0
Far North,2014-12-28,2014-12-22,2014-12-28,117,43,1,2.3255813953488373
Far North,2015-01-04,2014-12-29,2015-01-04,16,9,0,0.0
Far North,2015-01-11,2015-01-05,2015-01-11,92,40,0,0.0
Far North,2015-01-18,2015-01-12,2015-01-18,46,19,0,0.0
Far North,2015-01-25,2015-01-19,2015-01-25,136,35,0,0.0
Far North,2015-02-01,2015-01-26,2015-02-01,291,102,1,0.9803921568627452
Far North,2015-02-08,2015-02-02,2015-02-08,59,32,1,3.125
Far North,2015-02-15,2015-02-09,2015-02-15,103,50,1,2.0
Far North,2015-02-22,2015-02-16,2015-02-22,42,0,0,0.0
Far North,2015-03-01,2015-02-23,2015-03-01,42,0,0,0.0
Far North,2015-03-08,2015-03-02,2015-03-08,145,67,1,1.4925373134328357
Far North,2015-03-15,2015-03-09,2015-03-15,0,0,0,0.0
Far North,2015-03-22,2015-03-16,2015-03-22,37,0,0,0.0
Far North,2015-03-29,2015-03-23,2015-03-29,256,108,2,1.851851851851852
Far North,2015-04-05,2015-03-30,2015-04-05,229,24,0,0.0
Far North,2015-04-12,2015-04-06,2015-04-12,85,36,0,0.0
Far North,2015-04-19,2015-04-13,2015-04-19,83,0,0,0.0
Far North,2015-04-26,2015-04-20,2015-04-26,11,0,0,0.0
Far North,2015-05-03,2015-04-27,2015-05-03,209,0,0,0.0
Far North,2015-05-10,2015-05-04,2015-05-10,138,22,0,0.0
Far North,2015-05-17,2015-05-11,2015-05-17,100,55,0,0.0
Far North,2015-05-24,2015-05-18,2015-05-24,345,86,1,1.162790697674419
Far North,2015-05-31,2015-05-25,2015-05-31,693,236,5,2.11864406779661
Far North,2015-06-07,2015-06-01,2015-06-07,414,118,2,1.694915254237288
Far North,2015-06-14,2015-06-08,2015-06-14,214,85,2,2.3529411764705883
Far North,2015-06-21,2015-06-15,2015-06-21,0,0,0,0.0
Far North,2015-06-28,2015-06-22,2015-06-28,406,75,3,4.0
Far North,2015-07-05,2015-06-29,2015-07-05,453,68,2,2.941176470588235
Far North,2015-07-12,2015-07-06,2015-07-12,368,164,5,3.048780487804878
Far North,2015-07-19,2015-07-13,2015-07-19,224,91,3,3.296703296703297
Far North,2015-07-26,2015-07-20,2015-07-26,168,71,1,1.4084507042253522
Far North,2015-08-02,2015-07-27,2015-08-02,433,131,1,0.7633587786259541
Far North,2015-08-09,2015-08-03,2015-08-09,308,97,2,2.061855670103093
Far North,2015-08-16,2015-08-10,2015-08-16,593,177,3,1.694915254237288
Far North,2015-08-23,2015-08-17,2015-08-23,284,109,1,0.9174311926605504
Far North,2015-08-30,2015-08-24,2015-08-30,636,205,8,3.902439024390244
Far North,2015-09-06,2015-08-31,2015-09-06,167,72,0,0.0
Far North,2015-09-13,2015-09-07,2015-09-13,199,64,0,0.0
Far North,2015-09-20,2015-09-14,2015-09-20,432,227,3,1.3215859030837005
Far North,2015-09-27,2015-09-21,2015-09-27,87,30,0,0.0
Far North,2015-10-04,2015-09-28,2015-10-04,253,49,0,0.0
Far North,2015-10-11,2015-10-05,2015-10-11,471,216,4,1.851851851851852
Far North,2015-10-18,2015-10-12,2015-10-18,160,57,1,1.7543859649122806
Far North,2015-10-25,2015-10-19,2015-10-25,34,20,0,0.0
Far North,2015-11-01,2015-10-26,2015-11-01,68,13,0,0.0
Far North,2015-11-08,2015-11-02,2015-11-08,272,121,3,2.479338842975207
Far North,2015-11-15,2015-11-09,2015-11-15,27,0,0,0.0
Far North,2015-11-22,2015-11-16,2015-11-22,21,5,0,0.0
Far North,2015-11-29,2015-11-23,2015-11-29,206,35,2,5.714285714285714
Far North,2015-12-06,2015-11-30,2015-12-06,41,14,0,0.0
Far North,2015-12-13,2015-12-07,2015-12-13,111,49,1,2.0408163265306123
Far North,2015-12-20,2015-12-14,2015-12-20,14,7,0,0.0
Far North,2015-12-27,2015-12-21,2015-12-27,58,11,0,0.0
Far North,2016-01-10,2016-01-04,2016-01-10,0,0,0,0.0
Far North,2016-01-17,2016-01-11,2016-01-17,172,53,1,1.8867924528301887
Far North,2016-01-24,2016-01-18,2016-01-24,3,2,0,0.0
Far North,2016-01-31,2016-01-25,2016-01-31,17,6,0,0.0
Far North,2016-02-07,2016-02-01,2016-02-07,218,24,0,0.0
Far North,2016-02-14,2016-02-08,2016-02-14,102,36,0,0.0
Far North,2016-02-21,2016-02-15,2016-02-21,112,31,0,0.0
Far North,2016-02-28,2016-02-22,2016-02-28,97,24,0,0.0
Far North,2016-03-06,2016-02-29,2016-03-06,188,84,0,0.0
Far North,2016-03-13,2016-03-07,2016-03-13,67,27,0,0.0
Far North,2016-03-20,2016-03-14,2016-03-20,490,192,2,1.0416666666666663
Far North,2016-03-27,2016-03-21,2016-03-27,62,6,0,0.0
Far North,2016-04-03,2016-03-28,2016-04-03,0,0,0,0.0
Far North,2016-04-10,2016-04-04,2016-04-10,86,33,1,3.0303030303030303
Far North,2016-04-17,2016-04-11,2016-04-17,90,36,0,0.0
Far North,2016-04-24,2016-04-18,2016-04-24,29,11,0,0.0
Far North,2016-05-01,2016-04-25,2016-05-01,138,33,0,0.0
Far North,2016-05-08,2016-05-02,2016-05-08,459,240,5,2.083333333333333
Far North,2016-05-15,2016-05-09,2016-05-15,416,34,0,0.0
Far North,2016-05-22,2016-05-16,2016-05-22,524,117,2,1.7094017094017095
Far North,2016-05-29,2016-05-23,2016-05-29,381,140,1,0.7142857142857143
Far North,2016-06-05,2016-05-30,2016-06-05,21,7,0,0.0
Far North,2016-06-12,2016-06-06,2016-06-12,222,0,0,0.0
Far North,2016-06-19,2016-06-13,2016-06-19,0,0,0,0.0
Far North,2016-06-26,2016-06-20,2016-06-26,288,135,4,2.9629629629629632
Far North,2016-07-03,2016-06-27,2016-07-03,113,42,1,2.380952380952381
Far North,2016-07-10,2016-07-04,2016-07-10,638,379,10,2.638522427440633
Far North,2016-07-17,2016-07-11,2016-07-17,186,89,2,2.247191011235955
Far North,2016-07-24,2016-07-18,2016-07-24,250,141,3,2.127659574468085
Far North,2016-07-31,2016-07-25,2016-07-31,406,186,7,3.763440860215054
Far North,2016-08-07,2016-08-01,2016-08-07,404,182,3,1.6483516483516485
Far North,2016-08-14,2016-08-08,2016-08-14,208,96,2,2.083333333333333
Far North,2016-08-21,2016-08-15,2016-08-21,462,232,8,3.4482758620689653
Far North,2016-08-28,2016-08-22,2016-08-28,202,116,2,1.7241379310344829
Far North,2016-09-04,2016-08-29,2016-09-04,157,23,1,4.3478260869565215
Far North,2016-09-11,2016-09-05,2016-09-11,535,227,3,1.3215859030837005
Far North,2016-09-18,2016-09-12,2016-09-18,963,443,8,1.805869074492099
Far North,2016-09-25,2016-09-19,2016-09-25,423,116,2,1.7241379310344829
Far North,2016-10-02,2016-09-26,2016-10-02,562,125,0,0.0
Far North,2016-10-09,2016-10-03,2016-10-09,325,134,4,2.985074626865672
Far North,2016-10-16,2016-10-10,2016-10-16,27,0,0,0.0
Far North,2016-10-23,2016-10-17,2016-10-23,289,37,1,2.702702702702702
Far North,2016-10-30,2016-10-24,2016-10-30,255,37,0,0.0
Far North,2016-11-06,2016-10-31,2016-11-06,0,0,0,0.0
Far North,2016-11-13,2016-11-07,2016-11-13,48,0,0,0.0
Far North,2016-11-20,2016-11-14,2016-11-20,290,82,0,0.0
Far North,2016-11-27,2016-11-21,2016-11-27,50,21,1,4.761904761904762
Far North,2016-12-04,2016-11-28,2016-12-04,0,0,0,0.0
Far North,2016-12-11,2016-12-05,2016-12-11,69,13,0,0.0
Far North,2016-12-18,2016-12-12,2016-12-18,51,5,0,0.0
Far North,2016-12-25,2016-12-19,2016-12-25,64,4,0,0.0
Far North,2017-01-01,2016-12-26,2017-01-01,0,0,0,0.0
Far North,2017-01-08,2017-01-02,2017-01-08,0,0,0,0.0
Far North,2017-01-15,2017-01-09,2017-01-15,228,25,0,0.0
Far North,2017-01-22,2017-01-16,2017-01-22,189,26,0,0.0
Far North,2017-01-29,2017-01-23,2017-01-29,134,64,3,4.6875
Far North,2017-02-05,2017-01-30,2017-02-05,0,0,0,0.0
Far North,2017-02-12,2017-02-06,2017-02-12,93,0,0,0.0
Far North,2017-02-19,2017-02-13,2017-02-19,33,12,0,0.0
Far North,2017-02-26,2017-02-20,2017-02-26,195,28,0,0.0
Far North,2017-03-05,2017-02-27,2017-03-05,48,22,0,0.0
Far North,2017-03-12,2017-03-06,2017-03-12,124,55,1,1.818181818181818
Far North,2017-03-19,2017-03-13,2017-03-19,86,12,0,0.0
Far North,2017-03-26,2017-03-20,2017-03-26,250,69,1,1.4492753623188406
Far North,2017-04-02,2017-03-27,2017-04-02,0,0,0,0.0
Far North,2017-04-09,2017-04-03,2017-04-09,0,0,0,0.0
Far North,2017-04-16,2017-04-10,2017-04-16,318,94,1,1.0638297872340423
Far North,2017-04-23,2017-04-17,2017-04-23,75,35,0,0.0
Far North,2017-04-30,2017-04-24,2017-04-30,98,45,1,2.2222222222222223
Far North,2017-05-07,2017-05-01,2017-05-07,138,43,2,4.651162790697675
Far North,2017-05-14,2017-05-08,2017-05-14,58,29,0,0.0
Far North,2017-05-21,2017-05-15,2017-05-21,126,3,0,0.0
Far North,2017-05-28,2017-05-22,2017-05-28,136,58,1,1.7241379310344829
Far North,2017-06-04,2017-05-29,2017-06-04,815,321,5,1.557632398753894
Far North,2017-06-11,2017-06-05,2017-06-11,122,15,0,0.0
Far North,2017-06-18,2017-06-12,2017-06-18,808,157,1,0.6369426751592357
Far North,2017-06-25,2017-06-19,2017-06-25,431,175,2,1.1428571428571428
Far North,2017-07-02,2017-06-26,2017-07-02,261,122,1,0.819672131147541
Far North,2017-07-09,2017-07-03,2017-07-09,273,127,2,1.574803149606299
Far North,2017-07-16,2017-07-10,2017-07-16,308,100,2,2.0
Far North,2017-07-23,2017-07-17,2017-07-23,230,58,1,1.7241379310344829
Far North,2017-07-30,2017-07-24,2017-07-30,385,106,3,2.830188679245284
Far North,2017-08-06,2017-07-31,2017-08-06,1032,465,8,1.7204301075268815
Far North,2017-08-13,2017-08-07,2017-08-13,389,192,4,2.083333333333333
Far North,2017-08-20,2017-08-14,2017-08-20,71,45,1,2.2222222222222223
Far North,2017-08-27,2017-08-21,2017-08-27,331,98,1,1.020408163265306
Far North,2017-09-03,2017-08-28,2017-09-03,355,202,2,0.99009900990099
Far North,2017-09-10,2017-09-04,2017-09-10,44,24,1,4.166666666666666
Far North,2017-09-17,2017-09-11,2017-09-17,207,131,2,1.5267175572519085
Far North,2017-09-24,2017-09-18,2017-09-24,480,201,2,0.9950248756218906
Far North,2017-10-01,2017-09-25,2017-10-01,296,98,2,2.0408163265306123
Far North,2017-10-08,2017-10-02,2017-10-08,0,0,0,0.0
Far North,2017-10-15,2017-10-09,2017-10-15,703,258,7,2.713178294573644
Far North,2017-10-22,2017-10-16,2017-10-22,252,47,0,0.0
Far North,2017-10-29,2017-10-23,2017-10-29,170,38,1,2.631578947368421
Far North,2017-11-05,2017-10-30,2017-11-05,437,78,2,2.564102564102564
Far North,2017-11-12,2017-11-06,2017-11-12,101,46,0,0.0
Far North,2017-11-19,2017-11-13,2017-11-19,106,21,0,0.0
Far North,2017-11-26,2017-11-20,2017-11-26,60,20,0,0.0
Far North,2017-12-03,2017-11-27,2017-12-03,46,21,0,0.0
Far North,2017-12-10,2017-12-04,2017-12-10,58,17,0,0.0
Far North,2017-12-17,2017-12-11,2017-12-17,31,7,0,0.0
Far North,2017-12-24,2017-12-18,2017-12-24,150,67,1,1.4925373134328357
Far North,2017-12-31,2017-12-25,2017-12-31,185,66,1,1.5151515151515151
Far North,2018-08-26,2018-08-20,2018-08-26,490,105,1,0.9523809523809524
Littoral,2010-01-10,2010-01-04,2010-01-10,103,12,0,0.0
Littoral,2010-01-17,2010-01-11,2010-01-17,52,0,0,0.0
Littoral,2010-01-24,2010-01-18,2010-01-24,70,0,0,0.0
Littoral,2010-01-31,2010-01-25,2010-01-31,97,2,0,0.0
Littoral,2010-02-07,2010-02-01,2010-02-07,246,52,1,1.9230769230769231
Littoral,2010-02-14,2010-02-08,2010-02-14,116,63,1,1.5873015873015872
Littoral,2010-02-21,2010-02-15,2010-02-21,155,0,0,0.0
Littoral,2010-02-28,2010-02-22,2010-02-28,132,0,0,0.0
Littoral,2010-03-07,2010-03-01,2010-03-07,150,36,0,0.0
Littoral,2010-03-14,2010-03-08,2010-03-14,113,31,0,0.0
Littoral,2010-03-21,2010-03-15,2010-03-21,54,19,0,0.0
Littoral,2010-03-28,2010-03-22,2010-03-28,40,22,0,0.0
Littoral,2010-04-04,2010-03-29,2010-04-04,0,0,0,0.0
Littoral,2010-04-11,2010-04-05,2010-04-11,119,17,0,0.0
Littoral,2010-04-18,2010-04-12,2010-04-18,62,30,0,0.0
Littoral,2010-04-25,2010-04-19,2010-04-25,206,15,0,0.0
Littoral,2010-05-02,2010-04-26,2010-05-02,392,108,2,1.851851851851852
Littoral,2010-05-09,2010-05-03,2010-05-09,2,1,0,0.0
Littoral,2010-05-16,2010-05-10,2010-05-16,0,0,0,0.0
Littoral,2010-05-23,2010-05-17,2010-05-23,152,2,0,0.0
Littoral,2010-05-30,2010-05-24,2010-05-30,46,19,0,0.0
Littoral,2010-06-06,2010-05-31,2010-06-06,56,26,0,0.0
Littoral,2010-06-13,2010-06-07,2010-06-13,0,0,0,0.0
Littoral,2010-06-20,2010-06-14,2010-06-20,25,13,0,0.0
Littoral,2010-06-27,2010-06-21,2010-06-27,0,0,0,0.0
Littoral,2010-07-04,2010-06-28,2010-07-04,86,60,0,0.0
Littoral,2010-07-11,2010-07-05,2010-07-11,0,0,0,0.0
Littoral,2010-07-18,2010-07-12,2010-07-18,66,45,1,2.2222222222222223
Littoral,2010-07-25,2010-07-19,2010-07-25,842,196,6,3.061224489795918
Littoral,2010-08-01,2010-07-26,2010-08-01,326,117,2,1.7094017094017095
Littoral,2010-08-08,2010-08-02,2010-08-08,260,88,1,1.1363636363636365
Littoral,2010-08-15,2010-08-09,2010-08-15,430,90,2,2.2222222222222223
Littoral,2010-08-22,2010-08-16,2010-08-22,160,58,1,1.7241379310344829
Littoral,2010-08-29,2010-08-23,2010-08-29,141,26,1,3.8461538461538463
Littoral,2010-09-05,2010-08-30,2010-09-05,0,0,0,0.0
Littoral,2010-09-12,2010-09-06,2010-09-12,532,176,3,1.7045454545454544
Littoral,2010-09-19,2010-09-13,2010-09-19,193,50,1,2.0
Littoral,2010-09-26,2010-09-20,2010-09-26,503,205,2,0.975609756097561
Littoral,2010-10-03,2010-09-27,2010-10-03,549,122,2,1.639344262295082
Littoral,2010-10-10,2010-10-04,2010-10-10,353,100,3,3.0
Littoral,2010-10-17,2010-10-11,2010-10-17,262,75,5,6.666666666666667
Littoral,2010-10-24,2010-10-18,2010-10-24,398,61,0,0.0
Littoral,2010-10-31,2010-10-25,2010-10-31,283,103,1,0.9708737864077668
Littoral,2010-11-07,2010-11-01,2010-11-07,533,267,11,4.119850187265917
Littoral,2010-11-14,2010-11-08,2010-11-14,490,151,2,1.3245033112582782
Littoral,2010-11-21,2010-11-15,2010-11-21,351,152,1,0.6578947368421052
Littoral,2010-11-28,2010-11-22,2010-11-28,0,0,0,0.0
Littoral,2010-12-05,2010-11-29,2010-12-05,39,21,0,0.0
Littoral,2010-12-12,2010-12-06,2010-12-12,20,5,0,0.0
Littoral,2010-12-19,2010-12-13,2010-12-19,0,0,0,0.0
Littoral,2010-12-26,2010-12-20,2010-12-26,0,0,0,0.0
Littoral,2011-01-02,2010-12-27,2011-01-02,24,11,0,0.0
Littoral,2011-01-09,2011-01-03,2011-01-09,162,47,1,2.127659574468085
Littoral,2011-01-16,2011-01-10,2011-01-16,174,48,2,4.166666666666666
Littoral,2011-01-23,2011-01-17,2011-01-23,201,28,1,3.571428571428571
Littoral,2011-01-30,2011-01-24,2011-01-30,177,78,1,1.282051282051282
Littoral,2011-02-06,2011-01-31,2011-02-06,328,101,3,2.9702970297029703
Littoral,2011-02-13,2011-02-07,2011-02-13,222,99,2,2.0202020202020203
Littoral,2011-02-20,2011-02-14,2011-02-20,405,100,1,1.0
Littoral,2011-02-27,2011-02-21,2011-02-27,675,183,4,2.185792349726776
Littoral,2011-03-06,2011-02-28,2011-03-06,382,155,2,1.2903225806451613
Littoral,2011-03-13,2011-03-07,2011-03-13,387,149,4,2.684563758389262
Littoral,2011-03-20,2011-03-14,2011-03-20,288,100,5,5.0
Littoral,2011-03-27,2011-03-21,2011-03-27,301,52,0,0.0
Littoral,2011-04-03,2011-03-28,2011-04-03,324,122,1,0.819672131147541
Littoral,2011-04-10,2011-04-04,2011-04-10,378,157,4,2.547770700636943
Littoral,2011-04-17,2011-04-11,2011-04-17,213,70,1,1.4285714285714286
Littoral,2011-04-24,2011-04-18,2011-04-24,385,196,3,1.530612244897959
Littoral,2011-05-01,2011-04-25,2011-05-01,311,79,1,1.2658227848101269
Littoral,2011-05-08,2011-05-02,2011-05-08,371,159,3,1.8867924528301887
Littoral,2011-05-15,2011-05-09,2011-05-15,284,55,1,1.818181818181818
Littoral,2011-05-22,2011-05-16,2011-05-22,156,0,0,0.0
Littoral,2011-05-29,2011-05-23,2011-05-29,390,86,2,2.3255813953488373
Littoral,2011-06-05,2011-05-30,2011-06-05,427,145,4,2.7586206896551726
Littoral,2011-06-12,2011-06-06,2011-06-12,741,338,6,1.7751479289940828
Littoral,2011-06-19,2011-06-13,2011-06-19,545,278,4,1.4388489208633095
Littoral,2011-06-26,2011-06-20,2011-06-26,613,182,3,1.6483516483516485
Littoral,2011-07-03,2011-06-27,2011-07-03,1338,479,10,2.0876826722338206
Littoral,2011-07-10,2011-07-04,2011-07-10,528,191,3,1.5706806282722512
Littoral,2011-07-17,2011-07-11,2011-07-17,457,194,5,2.5773195876288657
Littoral,2011-07-24,2011-07-18,2011-07-24,301,69,1,1.4492753623188406
Littoral,2011-07-31,2011-07-25,2011-07-31,633,188,4,2.127659574468085
Littoral,2011-08-07,2011-08-01,2011-08-07,486,160,0,0.0
Littoral,2011-08-14,2011-08-08,2011-08-14,594,114,2,1.7543859649122806
Littoral,2011-08-21,2011-08-15,2011-08-21,723,184,2,1.0869565217391304
Littoral,2011-08-28,2011-08-22,2011-08-28,534,158,3,1.89873417721519
Littoral,2011-09-04,2011-08-29,2011-09-04,644,172,4,2.3255813953488373
Littoral,2011-09-11,2011-09-05,2011-09-11,738,273,4,1.465201465201465
Littoral,2011-09-18,2011-09-12,2011-09-18,477,155,4,2.5806451612903225
Littoral,2011-09-25,2011-09-19,2011-09-25,538,139,5,3.597122302158273
Littoral,2011-10-02,2011-09-26,2011-10-02,308,147,5,3.401360544217688
Littoral,2011-10-09,2011-10-03,2011-10-09,516,133,7,5.263157894736842
Littoral,2011-10-16,2011-10-10,2011-10-16,1032,454,12,2.643171806167401
Littoral,2011-10-23,2011-10-17,2011-10-23,655,207,4,1.932367149758454
Littoral,2011-10-30,2011-10-24,2011-10-30,976,376,7,1.8617021276595744
Littoral,2011-11-06,2011-10-31,2011-11-06,593,211,2,0.9478672985781992
Littoral,2011-11-13,2011-11-07,2011-11-13,671,169,6,3.5502958579881656
Littoral,2011-11-20,2011-11-14,2011-11-20,329,113,2,1.7699115044247788
Littoral,2011-11-27,2011-11-21,2011-11-27,91,40,0,0.0
Littoral,2011-12-04,2011-11-28,2011-12-04,185,82,1,1.2195121951219512
Littoral,2011-12-18,2011-12-12,2011-12-18,234,41,2,4.878048780487805
Littoral,2011-12-25,2011-12-19,2011-12-25,230,20,0,0.0
Littoral,2012-01-01,2011-12-26,2012-01-01,126,40,2,5.0
Littoral,2012-01-08,2012-01-02,2012-01-08,92,4,0,0.0
Littoral,2012-01-15,2012-01-09,2012-01-15,166,44,1,2.272727272727273
Littoral,2012-01-22,2012-01-16,2012-01-22,108,22,0,0.0
Littoral,2012-01-29,2012-01-23,2012-01-29,201,85,2,2.3529411764705883
Littoral,2012-02-05,2012-01-30,2012-02-05,246,64,2,3.125
Littoral,2012-02-12,2012-02-06,2012-02-12,49,0,0,0.0
Littoral,2012-02-19,2012-02-13,2012-02-19,165,46,1,2.1739130434782608
Littoral,2012-02-26,2012-02-20,2012-02-26,24,0,0,0.0
Littoral,2012-03-04,2012-02-27,2012-03-04,24,11,0,0.0
Littoral,2012-03-11,2012-03-05,2012-03-11,88,23,1,4.3478260869565215
Littoral,2012-03-18,2012-03-12,2012-03-18,156,57,0,0.0
Littoral,2012-03-25,2012-03-19,2012-03-25,0,0,0,0.0
Littoral,2012-04-01,2012-03-26,2012-04-01,123,70,1,1.4285714285714286
Littoral,2012-04-08,2012-04-02,2012-04-08,32,14,0,0.0
Littoral,2012-04-15,2012-04-09,2012-04-15,240,103,1,0.9708737864077668
Littoral,2012-04-22,2012-04-16,2012-04-22,139,30,1,3.333333333333333
Littoral,2012-04-29,2012-04-23,2012-04-29,0,0,0,0.0
Littoral,2012-05-06,2012-04-30,2012-05-06,368,63,1,1.5873015873015872
Littoral,2012-05-13,2012-05-07,2012-05-13,128,40,1,2.5
Littoral,2012-05-20,2012-05-14,2012-05-20,20,9,0,0.0
Littoral,2012-05-27,2012-05-21,2012-05-27,48,32,0,0.0
Littoral,2012-06-03,2012-05-28,2012-06-03,189,101,1,0.99009900990099
Littoral,2012-06-10,2012-06-04,2012-06-10,56,30,0,0.0
Littoral,2012-06-17,2012-06-11,2012-06-17,159,33,1,3.0303030303030303
Littoral,2012-06-24,2012-06-18,2012-06-24,219,85,2,2.3529411764705883
Littoral,2012-07-01,2012-06-25,2012-07-01,291,91,3,3.296703296703297
Littoral,2012-07-08,2012-07-02,2012-07-08,468,154,2,1.2987012987012987
Littoral,2012-07-15,2012-07-09,2012-07-15,288,32,0,0.0
Littoral,2012-07-22,2012-07-16,2012-07-22,316,142,3,2.112676056338028
Littoral,2012-07-29,2012-07-23,2012-07-29,120,38,0,0.0
Littoral,2012-08-05,2012-07-30,2012-08-05,270,54,1,1.851851851851852
Littoral,2012-08-12,2012-08-06,2012-08-12,227,36,0,0.0
Littoral,2012-08-19,2012-08-13,2012-08-19,37,0,0,0.0
Littoral,2012-08-26,2012-08-20,2012-08-26,76,35,1,2.857142857142857
Littoral,2012-09-02,2012-08-27,2012-09-02,262,105,1,0.9523809523809524
Littoral,2012-09-09,2012-09-03,2012-09-09,796,195,5,2.564102564102564
Littoral,2012-09-16,2012-09-10,2012-09-16,0,0,0,0.0
Littoral,2012-09-23,2012-09-17,2012-09-23,134,75,2,2.666666666666667
Littoral,2012-09-30,2012-09-24,2012-09-30,131,64,0,0.0
Littoral,2012-10-07,2012-10-01,2012-10-07,76,0,1,0.0
Littoral,2012-10-14,2012-10-08,2012-10-14,306,120,1,0.8333333333333334
Littoral,2012-10-21,2012-10-15,2012-10-21,335,154,2,1.2987012987012987
Littoral,2012-10-28,2012-10-22,2012-10-28,154,69,1,1.4492753623188406
Littoral,2012-11-04,2012-10-29,2012-11-04,149,75,2,2.666666666666667
Littoral,2012-11-11,2012-11-05,2012-11-11,61,40,1,2.5
Littoral,2012-11-18,2012-11-12,2012-11-18,97,16,0,0.0
Littoral,2012-11-25,2012-11-19,2012-11-25,306,93,1,1.0752688172043012
Littoral,2012-12-02,2012-11-26,2012-12-02,50,25,0,0.0
Littoral,2012-12-09,2012-12-03,2012-12-09,128,25,0,0.0
Littoral,2012-12-16,2012-12-10,2012-12-16,9,5,0,0.0
Littoral,2012-12-23,2012-12-17,2012-12-23,0,0,0,0.0
Littoral,2012-12-30,2012-12-24,2012-12-30,85,34,0,0.0
Littoral,2013-01-06,2012-12-31,2013-01-06,0,0,0,0.0
Littoral,2013-01-13,2013-01-07,2013-01-13,28,11,0,0.0
Littoral,2013-01-20,2013-01-14,2013-01-20,89,47,0,0.0
Littoral,2013-01-27,2013-01-21,2013-01-27,66,22,0,0.0
Littoral,2013-02-03,2013-01-28,2013-02-03,62,15,0,0.0
Littoral,2013-02-10,2013-02-04,2013-02-10,164,45,1,2.2222222222222223
Littoral,2013-02-17,2013-02-11,2013-02-17,0,0,0,0.0
