TL,TR,reporting_date,sCh,cCh,CFR
7/27/2015,8/2/2015,2015-08-02,3527,1175,2.127659574468085
8/3/2015,8/9/2015,2015-08-09,1085,377,1.5915119363395225
8/10/2015,8/16/2015,2015-08-16,2089,696,1.5804597701149428
8/17/2015,8/23/2015,2015-08-23,1996,882,1.927437641723356
8/24/2015,8/30/2015,2015-08-30,2056,553,2.3508137432188065
8/31/2015,9/6/2015,2015-09-06,1874,473,2.1141649048625792
9/7/2015,9/13/2015,2015-09-13,1356,409,0.9779951100244498
9/14/2015,9/20/2015,2015-09-20,2046,758,1.4511873350923483
9/21/2015,9/27/2015,2015-09-27,2131,437,1.3729977116704806
9/28/2015,10/4/2015,2015-10-04,1076,371,1.3477088948787064
10/5/2015,10/11/2015,2015-10-11,2356,786,1.7811704834605595
10/12/2015,10/18/2015,2015-10-18,2382,1017,1.376597836774828
10/19/2015,10/25/2015,2015-10-25,2388,883,1.9252548131370328
10/26/2015,11/1/2015,2015-11-01,1453,451,1.5521064301552108
11/2/2015,11/8/2015,2015-11-08,1701,398,1.507537688442211
11/9/2015,11/15/2015,2015-11-15,1116,331,1.2084592145015105
11/16/2015,11/22/2015,2015-11-22,712,85,0.0
11/23/2015,11/29/2015,2015-11-29,727,111,2.702702702702702
11/30/2015,12/6/2015,2015-12-06,503,132,0.7575757575757576
12/7/2015,12/13/2015,2015-12-13,283,68,1.4705882352941175
12/14/2015,12/20/2015,2015-12-20,630,238,1.680672268907563
12/21/2015,12/27/2015,2015-12-27,171,38,0.0
1/4/2016,1/10/2016,2016-01-10,276,83,0.0
1/11/2016,1/17/2016,2016-01-17,428,117,2.564102564102564
1/18/2016,1/24/2016,2016-01-24,241,39,2.564102564102564
1/25/2016,1/31/2016,2016-01-31,274,50,0.0
2/1/2016,2/7/2016,2016-02-07,613,116,0.8620689655172413
2/8/2016,2/14/2016,2016-02-14,455,121,0.8264462809917356
2/15/2016,2/21/2016,2016-02-21,315,125,1.6
2/22/2016,2/28/2016,2016-02-28,515,105,0.0
2/29/2016,3/6/2016,2016-03-06,1016,375,1.6
3/7/2016,3/13/2016,2016-03-13,959,362,1.3812154696132597
3/14/2016,3/20/2016,2016-03-20,1277,538,2.044609665427509
3/21/2016,3/27/2016,2016-03-27,1393,459,1.5250544662309369
3/28/2016,4/3/2016,2016-04-03,786,310,0.967741935483871
4/4/2016,4/10/2016,2016-04-10,1292,252,1.1904761904761905
4/11/2016,4/17/2016,2016-04-17,1914,551,1.8148820326678767
4/18/2016,4/24/2016,2016-04-24,755,263,1.520912547528517
4/25/2016,5/1/2016,2016-05-01,1776,469,1.9189765458422177
5/2/2016,5/8/2016,2016-05-08,1698,664,2.409638554216868
5/9/2016,5/15/2016,2016-05-15,1872,280,1.4285714285714286
5/16/2016,5/22/2016,2016-05-22,2672,788,2.030456852791878
5/23/2016,5/29/2016,2016-05-29,2189,539,1.855287569573284
5/30/2016,6/5/2016,2016-06-05,1583,485,1.443298969072165
6/6/2016,6/12/2016,2016-06-12,2349,621,2.254428341384863
6/13/2016,6/19/2016,2016-06-19,1805,587,1.7035775127768311
6/20/2016,6/26/2016,2016-06-26,1809,563,1.5985790408525755
6/27/2016,7/3/2016,2016-07-03,981,266,1.5037593984962403
7/4/2016,7/10/2016,2016-07-10,1866,871,2.4110218140068884
7/11/2016,7/17/2016,2016-07-17,1832,798,2.255639097744361
7/18/2016,7/24/2016,2016-07-24,2064,609,1.477832512315271
7/25/2016,7/31/2016,2016-07-31,2255,744,2.419354838709677
8/1/2016,8/7/2016,2016-08-07,2832,1204,1.4119601328903657
8/8/2016,8/14/2016,2016-08-14,1753,372,1.6129032258064515
8/15/2016,8/21/2016,2016-08-21,2167,747,2.0080321285140563
8/22/2016,8/28/2016,2016-08-28,2438,480,1.875
8/29/2016,9/4/2016,2016-09-04,2109,935,1.818181818181818
9/5/2016,9/11/2016,2016-09-11,2513,1012,1.5810276679841897
9/12/2016,9/18/2016,2016-09-18,3156,1315,2.2053231939163496
9/19/2016,9/25/2016,2016-09-25,1953,785,1.6560509554140128
9/26/2016,10/2/2016,2016-10-02,2355,696,1.293103448275862
10/3/2016,10/9/2016,2016-10-09,1687,562,2.3131672597864767
10/10/2016,10/16/2016,2016-10-16,885,190,1.0526315789473684
10/17/2016,10/23/2016,2016-10-23,2095,519,2.119460500963391
10/24/2016,10/30/2016,2016-10-30,1025,270,1.851851851851852
10/31/2016,11/6/2016,2016-11-06,1309,323,1.547987616099071
11/7/2016,11/13/2016,2016-11-13,259,47,0.0
11/14/2016,11/20/2016,2016-11-20,1189,236,0.0
11/21/2016,11/27/2016,2016-11-27,741,185,2.1621621621621623
11/28/2016,12/4/2016,2016-12-04,275,71,0.0
12/5/2016,12/11/2016,2016-12-11,453,117,1.7094017094017095
12/12/2016,12/18/2016,2016-12-18,518,70,0.0
12/19/2016,12/25/2016,2016-12-25,519,161,1.8633540372670807
12/26/2016,1/1/2017,2017-01-01,329,72,1.3888888888888888
1/2/2017,1/8/2017,2017-01-08,335,52,1.9230769230769231
1/9/2017,1/15/2017,2017-01-15,485,88,0.0
1/16/2017,1/22/2017,2017-01-22,474,107,2.803738317757009
1/23/2017,1/29/2017,2017-01-29,360,120,2.5
1/30/2017,2/5/2017,2017-02-05,500,146,0.684931506849315
2/6/2017,2/12/2017,2017-02-12,875,155,0.0
2/13/2017,2/19/2017,2017-02-19,289,99,1.0101010101010102
2/20/2017,2/26/2017,2017-02-26,556,128,2.34375
2/27/2017,3/5/2017,2017-03-05,568,143,0.0
3/6/2017,3/12/2017,2017-03-12,685,150,1.3333333333333337
3/13/2017,3/19/2017,2017-03-19,636,173,0.0
3/20/2017,3/26/2017,2017-03-26,772,230,0.8695652173913043
3/27/2017,4/2/2017,2017-04-02,850,346,2.023121387283237
4/3/2017,4/9/2017,2017-04-09,428,84,1.1904761904761905
4/10/2017,4/16/2017,2017-04-16,1216,397,1.0075566750629723
4/17/2017,4/23/2017,2017-04-23,745,240,0.8333333333333334
4/24/2017,4/30/2017,2017-04-30,516,186,2.1505376344086025
5/1/2017,5/7/2017,2017-05-07,1325,528,2.462121212121212
5/8/2017,5/14/2017,2017-05-14,979,282,0.7092198581560284
5/15/2017,5/21/2017,2017-05-21,1564,414,1.932367149758454
5/22/2017,5/28/2017,2017-05-28,1961,717,2.092050209205021
5/29/2017,6/4/2017,2017-06-04,1794,668,1.7964071856287425
6/5/2017,6/11/2017,2017-06-11,1271,463,1.511879049676026
6/12/2017,6/18/2017,2017-06-18,2101,743,1.8842530282637957
6/19/2017,6/25/2017,2017-06-25,1189,504,1.5873015873015872
6/26/2017,7/2/2017,2017-07-02,2276,842,1.3064133016627075
7/3/2017,7/9/2017,2017-07-09,1800,717,1.6736401673640169
7/10/2017,7/16/2017,2017-07-16,1904,528,2.272727272727273
7/17/2017,7/23/2017,2017-07-23,1931,833,1.440576230492197
7/24/2017,7/30/2017,2017-07-30,2291,609,2.134646962233169
7/31/2017,8/6/2017,2017-08-06,3045,1205,1.5767634854771784
8/7/2017,8/13/2017,2017-08-13,2914,1248,1.842948717948718
8/14/2017,8/20/2017,2017-08-20,1954,857,1.0501750291715286
8/21/2017,8/27/2017,2017-08-27,1637,569,1.5817223198594026
8/28/2017,9/3/2017,2017-09-03,1809,874,1.6018306636155606
9/4/2017,9/10/2017,2017-09-10,2190,788,2.1573604060913705
9/11/2017,9/17/2017,2017-09-17,1687,691,2.0260492040520983
9/18/2017,9/24/2017,2017-09-24,2603,977,1.7400204708290683
9/25/2017,10/1/2017,2017-10-01,1278,323,1.547987616099071
10/2/2017,10/8/2017,2017-10-08,1987,697,1.721664275466284
10/9/2017,10/15/2017,2017-10-15,2725,960,1.7708333333333333
10/16/2017,10/22/2017,2017-10-22,1780,398,1.507537688442211
10/23/2017,10/29/2017,2017-10-29,868,216,1.3888888888888888
10/30/2017,11/5/2017,2017-11-05,720,159,1.8867924528301887
11/6/2017,11/12/2017,2017-11-12,671,166,1.2048192771084338
11/13/2017,11/19/2017,2017-11-19,765,290,1.3793103448275863
11/20/2017,11/26/2017,2017-11-26,519,168,1.7857142857142856
11/27/2017,12/3/2017,2017-12-03,175,69,0.0
12/4/2017,12/10/2017,2017-12-10,359,87,0.0
12/11/2017,12/17/2017,2017-12-17,254,42,0.0
12/18/2017,12/24/2017,2017-12-24,624,208,1.9230769230769231
12/25/2017,12/31/2017,2017-12-31,550,220,1.3636363636363635
1/1/2018,1/7/2018,2018-01-07,0,0,
1/8/2018,1/14/2018,2018-01-14,0,0,
1/15/2018,1/21/2018,2018-01-21,0,0,
1/22/2018,1/28/2018,2018-01-28,14,7,0.0
1/29/2018,2/4/2018,2018-02-04,0,0,
2/5/2018,2/11/2018,2018-02-11,0,0,
2/12/2018,2/18/2018,2018-02-18,45,16,0.0
2/19/2018,2/25/2018,2018-02-25,37,23,0.0
2/26/2018,3/4/2018,2018-03-04,116,24,0.0
3/5/2018,3/11/2018,2018-03-11,36,0,
3/12/2018,3/18/2018,2018-03-18,38,0,
3/19/2018,3/25/2018,2018-03-25,0,0,
3/26/2018,4/1/2018,2018-04-01,1,1,0.0
4/2/2018,4/8/2018,2018-04-08,205,88,2.272727272727273
4/9/2018,4/15/2018,2018-04-15,29,15,0.0
4/16/2018,4/22/2018,2018-04-22,1,1,0.0
4/23/2018,4/29/2018,2018-04-29,0,0,
4/30/2018,5/6/2018,2018-05-06,52,16,0.0
5/7/2018,5/13/2018,2018-05-13,127,63,3.1746031746031744
5/14/2018,5/20/2018,2018-05-20,189,39,0.0
5/18/2018,5/21/2018,2018-05-21,88,42,7.142857142857142
5/18/2018,5/24/2018,2018-05-24,116,28,0.0
5/21/2018,5/27/2018,2018-05-27,200,131,2.2900763358778624
5/28/2018,6/3/2018,2018-06-03,0,0,
6/4/2018,6/10/2018,2018-06-10,94,0,
6/11/2018,6/17/2018,2018-06-17,0,0,
6/18/2018,6/24/2018,2018-06-24,209,96,1.0416666666666663
5/18/2018,6/27/2018,2018-06-27,147,0,
6/25/2018,7/1/2018,2018-07-01,403,171,4.093567251461988
7/2/2018,7/8/2018,2018-07-08,0,0,
7/9/2018,7/15/2018,2018-07-15,121,20,0.0
7/16/2018,7/22/2018,2018-07-22,231,82,1.2195121951219512
5/18/2018,7/26/2018,2018-07-26,184,83,1.2048192771084338
7/23/2018,7/29/2018,2018-07-29,341,123,1.6260162601626018
5/18/2018,7/31/2018,2018-07-31,143,33,0.0
7/30/2018,8/5/2018,2018-08-05,221,78,1.282051282051282
7/17/2018,8/12/2018,2018-08-12,269,138,1.4492753623188406
8/6/2018,8/12/2018,2018-08-12,116,65,4.615384615384616
5/18/2018,8/13/2018,2018-08-13,76,37,2.702702702702702
5/18/2018,8/17/2018,2018-08-17,111,14,7.142857142857142
8/13/2018,8/19/2018,2018-08-19,338,147,1.3605442176870748
8/20/2018,8/26/2018,2018-08-26,1338,517,1.3539651837524178
8/27/2018,9/2/2018,2018-09-02,260,138,2.1739130434782608
5/18/2018,9/3/2018,2018-09-03,179,19,5.263157894736842
8/27/2018,9/3/2018,2018-09-03,94,53,1.8867924528301887
9/3/2018,9/9/2018,2018-09-09,251,41,2.4390243902439024
9/10/2018,9/16/2018,2018-09-16,357,0,
5/18/2018,9/17/2018,2018-09-17,267,85,1.1764705882352942
9/17/2018,9/23/2018,2018-09-23,66,0,
5/18/2018,9/24/2018,2018-09-24,317,110,7.272727272727272
8/28/2018,9/24/2018,2018-09-24,0,0,
5/18/2018,9/28/2018,2018-09-28,284,131,2.2900763358778624
8/24/2018,9/28/2018,2018-09-28,0,0,
9/24/2018,9/30/2018,2018-09-30,181,76,1.3157894736842104
10/1/2018,10/7/2018,2018-10-07,204,77,3.896103896103896
5/18/2018,10/12/2018,2018-10-12,49,4,0.0
10/8/2018,10/14/2018,2018-10-14,309,115,0.8695652173913043
10/12/2018,10/16/2018,2018-10-16,113,59,3.389830508474576
8/27/2018,10/16/2018,2018-10-16,0,0,
10/15/2018,10/21/2018,2018-10-21,141,38,0.0
10/11/2018,10/23/2018,2018-10-23,0,0,
10/19/2018,10/23/2018,2018-10-23,58,0,
5/18/2018,10/23/2018,2018-10-23,19,5,0.0
8/27/2018,10/23/2018,2018-10-23,52,20,0.0
10/22/2018,10/28/2018,2018-10-28,151,50,2.0
10/11/2018,10/29/2018,2018-10-29,0,0,
10/23/2018,10/29/2018,2018-10-29,75,11,0.0
8/27/2018,10/29/2018,2018-10-29,0,0,
10/11/2018,11/2/2018,2018-11-02,0,0,
10/31/2018,11/2/2018,2018-11-02,129,56,0.0
8/27/2018,11/2/2018,2018-11-02,0,0,
10/29/2018,11/4/2018,2018-11-04,258,70,2.857142857142857
10/11/2018,11/9/2018,2018-11-09,0,0,
11/2/2018,11/9/2018,2018-11-09,134,7,0.0
8/27/2018,11/9/2018,2018-11-09,0,0,
11/5/2018,11/11/2018,2018-11-11,121,27,3.7037037037037033
11/12/2018,11/18/2018,2018-11-18,72,8,0.0
10/11/2018,11/23/2018,2018-11-23,0,0,
11/18/2018,11/23/2018,2018-11-23,74,45,2.2222222222222223
8/27/2018,11/23/2018,2018-11-23,0,0,
11/19/2018,11/25/2018,2018-11-25,95,30,0.0
11/23/2018,11/28/2018,2018-11-28,113,57,3.508771929824561
11/26/2018,12/2/2018,2018-12-02,58,24,0.0
12/3/2018,12/9/2018,2018-12-09,39,0,
12/10/2018,12/16/2018,2018-12-16,53,31,3.225806451612903
10/11/2018,12/19/2018,2018-12-19,0,0,
8/27/2018,12/19/2018,2018-12-19,0,0,
12/17/2018,12/23/2018,2018-12-23,149,64,3.125
12/24/2018,12/30/2018,2018-12-30,50,0,
5/18/2018,12/31/2018,2018-12-31,36,14,0.0
12/31/2018,1/6/2019,2019-01-06,30,19,0.0
1/7/2019,1/13/2019,2019-01-13,0,0,
1/14/2019,1/20/2019,2019-01-20,45,13,0.0
1/21/2019,1/27/2019,2019-01-27,42,0,
1/28/2019,2/3/2019,2019-02-03,0,0,
2/4/2019,2/10/2019,2019-02-10,0,0,
2/11/2019,2/17/2019,2019-02-17,18,10,0.0
2/18/2019,2/24/2019,2019-02-24,14,5,0.0
2/25/2019,3/3/2019,2019-03-03,119,41,0.0
3/4/2019,3/10/2019,2019-03-10,22,10,0.0
3/11/2019,3/17/2019,2019-03-17,38,0,
3/18/2019,3/24/2019,2019-03-24,62,0,
3/25/2019,3/31/2019,2019-03-31,28,11,0.0
4/1/2019,4/7/2019,2019-04-07,87,16,0.0
4/8/2019,4/14/2019,2019-04-14,47,28,0.0
4/15/2019,4/21/2019,2019-04-21,58,25,0.0
4/22/2019,4/28/2019,2019-04-28,0,0,
4/29/2019,5/5/2019,2019-05-05,253,109,0.9174311926605504
5/6/2019,5/12/2019,2019-05-12,32,16,0.0
5/1/2019,5/15/2019,2019-05-15,207,0,
5/13/2019,5/19/2019,2019-05-19,146,39,0.0
5/20/2019,5/26/2019,2019-05-26,46,28,3.571428571428571
5/27/2019,6/2/2019,2019-06-02,32,9,0.0
6/3/2019,6/9/2019,2019-06-09,83,24,0.0
6/10/2019,6/16/2019,2019-06-16,83,37,2.702702702702702
6/17/2019,6/23/2019,2019-06-23,46,22,4.545454545454546
6/24/2019,6/30/2019,2019-06-30,208,72,1.3888888888888888
7/1/2019,7/7/2019,2019-07-07,103,49,6.122448979591836
7/8/2019,7/14/2019,2019-07-14,151,66,3.0303030303030303
7/15/2019,7/21/2019,2019-07-21,136,48,2.083333333333333
7/22/2019,7/28/2019,2019-07-28,112,35,2.857142857142857
7/29/2019,8/4/2019,2019-08-04,28,1,0.0
8/5/2019,8/11/2019,2019-08-11,61,32,3.125
8/12/2019,8/18/2019,2019-08-18,204,79,0.0
8/19/2019,8/25/2019,2019-08-25,144,36,0.0
8/26/2019,9/1/2019,2019-09-01,101,67,1.4925373134328357
9/2/2019,9/8/2019,2019-09-08,157,83,6.024096385542169
9/9/2019,9/15/2019,2019-09-15,163,36,2.7777777777777777
9/16/2019,9/22/2019,2019-09-22,199,102,1.96078431372549
9/23/2019,9/29/2019,2019-09-29,5,3,0.0
9/30/2019,10/6/2019,2019-10-06,192,0,
10/7/2019,10/13/2019,2019-10-13,222,101,0.99009900990099
10/14/2019,10/20/2019,2019-10-20,54,30,3.333333333333333
10/21/2019,10/27/2019,2019-10-27,221,117,4.273504273504273
10/28/2019,11/3/2019,2019-11-03,67,34,0.0
11/4/2019,11/10/2019,2019-11-10,111,46,2.1739130434782608
11/11/2019,11/17/2019,2019-11-17,40,0,
11/18/2019,11/24/2019,2019-11-24,60,0,
11/25/2019,12/1/2019,2019-12-01,77,22,4.545454545454546
12/1/2019,12/7/2019,2019-12-07,120,0,
12/2/2019,12/8/2019,2019-12-08,0,0,
12/9/2019,12/15/2019,2019-12-15,186,33,0.0
12/16/2019,12/22/2019,2019-12-22,104,14,0.0
12/23/2019,12/29/2019,2019-12-29,47,0,
12/31/2018,12/29/2019,2019-12-29,195,45,0.0
1/1/2019,12/31/2019,2019-12-31,952,245,6.530612244897959
1/4/2020,1/4/2020,2020-01-04,0,0,
1/5/2020,1/5/2020,2020-01-05,24,6,0.0
12/30/2019,1/5/2020,2020-01-05,11,0,
1/6/2020,1/6/2020,2020-01-06,0,0,
1/7/2020,1/7/2020,2020-01-07,0,0,
1/8/2020,1/8/2020,2020-01-08,0,0,
1/9/2020,1/9/2020,2020-01-09,0,0,
11/29/2019,1/9/2020,2020-01-09,0,0,
12/24/2019,1/9/2020,2020-01-09,0,0,
5/18/2018,1/9/2020,2020-01-09,439,189,7.936507936507936
1/10/2020,1/10/2020,2020-01-10,66,21,0.0
1/11/2020,1/11/2020,2020-01-11,0,0,
1/12/2020,1/12/2020,2020-01-12,0,0,
1/6/2020,1/12/2020,2020-01-12,20,4,0.0
1/13/2020,1/13/2020,2020-01-13,1,0,
1/14/2020,1/14/2020,2020-01-14,9,0,
1/15/2020,1/15/2020,2020-01-15,0,0,
1/16/2020,1/16/2020,2020-01-16,20,6,0.0
1/17/2020,1/17/2020,2020-01-17,0,0,
1/18/2020,1/18/2020,2020-01-18,0,0,
1/13/2020,1/19/2020,2020-01-19,0,0,
1/19/2020,1/19/2020,2020-01-19,0,0,
1/20/2020,1/20/2020,2020-01-20,100,51,1.96078431372549
11/25/2019,1/20/2020,2020-01-20,0,0,
12/16/2019,1/20/2020,2020-01-20,0,0,
5/18/2018,1/20/2020,2020-01-20,16,4,0.0
1/21/2020,1/21/2020,2020-01-21,0,0,
1/22/2020,1/22/2020,2020-01-22,0,0,
1/23/2020,1/23/2020,2020-01-23,8,2,0.0
1/24/2020,1/24/2020,2020-01-24,19,0,
1/25/2020,1/25/2020,2020-01-25,17,10,0.0
1/20/2020,1/26/2020,2020-01-26,23,0,
1/21/2020,1/26/2020,2020-01-26,22,8,0.0
11/25/2019,1/26/2020,2020-01-26,0,0,
12/16/2019,1/26/2020,2020-01-26,0,0,
5/18/2018,1/26/2020,2020-01-26,72,19,5.263157894736842
1/1/2020,1/28/2020,2020-01-28,400,180,6.666666666666667
1/27/2020,2/2/2020,2020-02-02,0,0,
2/3/2020,2/9/2020,2020-02-09,17,0,
2/10/2020,2/16/2020,2020-02-16,44,7,0.0
2/17/2020,2/23/2020,2020-02-23,63,4,0.0
2/24/2020,3/1/2020,2020-03-01,0,0,
3/2/2020,3/8/2020,2020-03-08,0,0,
3/9/2020,3/15/2020,2020-03-15,0,0,
3/16/2020,3/22/2020,2020-03-22,0,0,
3/23/2020,3/29/2020,2020-03-29,36,0,
3/30/2020,4/5/2020,2020-04-05,0,0,
4/6/2020,4/12/2020,2020-04-12,0,0,
4/13/2020,4/19/2020,2020-04-19,75,22,0.0
4/20/2020,4/26/2020,2020-04-26,0,0,
4/27/2020,5/3/2020,2020-05-03,80,20,5.0
5/4/2020,5/10/2020,2020-05-10,258,94,2.127659574468085
5/11/2020,5/17/2020,2020-05-17,66,34,2.941176470588235
11/11/2019,5/18/2020,2020-05-18,0,0,
5/18/2020,5/24/2020,2020-05-24,34,0,
5/25/2020,5/31/2020,2020-05-31,15,0,
6/1/2020,6/7/2020,2020-06-07,57,15,6.666666666666667
6/8/2020,6/14/2020,2020-06-14,95,21,4.761904761904762
2/10/2020,6/19/2020,2020-06-19,15,7,0.0
6/15/2020,6/21/2020,2020-06-21,75,46,2.1739130434782608
6/22/2020,6/28/2020,2020-06-28,72,28,7.142857142857142
6/29/2020,7/5/2020,2020-07-05,119,27,7.4074074074074066
7/6/2020,7/12/2020,2020-07-12,111,35,2.857142857142857
2/10/2020,7/13/2020,2020-07-13,93,0,
7/13/2020,7/19/2020,2020-07-19,188,54,1.851851851851852
2/10/2020,7/24/2020,2020-07-24,0,0,
7/20/2020,7/26/2020,2020-07-26,95,65,4.615384615384616
2/10/2020,7/28/2020,2020-07-28,48,0,
2/10/2020,7/29/2020,2020-07-29,29,0,
7/27/2020,8/2/2020,2020-08-02,113,36,2.7777777777777777
8/3/2020,8/9/2020,2020-08-09,150,64,4.6875
2/10/2020,8/10/2020,2020-08-10,139,0,
8/10/2020,8/16/2020,2020-08-16,86,32,0.0
8/17/2020,8/23/2020,2020-08-23,200,75,0.0
8/24/2020,8/30/2020,2020-08-30,99,42,0.0
8/31/2020,9/6/2020,2020-09-06,101,25,4.0
9/11/2020,9/11/2020,2020-09-11,0,0,
9/12/2020,9/12/2020,2020-09-12,0,0,
9/13/2020,9/13/2020,2020-09-13,0,0,
9/7/2020,9/13/2020,2020-09-13,129,54,1.851851851851852
9/14/2020,9/14/2020,2020-09-14,85,43,2.3255813953488373
9/15/2020,9/15/2020,2020-09-15,126,69,0.0
9/16/2020,9/16/2020,2020-09-16,33,13,0.0
9/15/2020,9/17/2020,2020-09-17,74,42,0.0
9/18/2020,9/18/2020,2020-09-18,0,0,
9/19/2020,9/19/2020,2020-09-19,0,0,
11/11/2019,9/20/2020,2020-09-20,39,26,3.8461538461538463
9/14/2020,9/20/2020,2020-09-20,224,148,1.351351351351351
9/21/2020,9/21/2020,2020-09-21,0,0,
9/22/2020,9/22/2020,2020-09-22,0,0,
9/11/2020,9/23/2020,2020-09-23,47,0,
1/1/2020,9/27/2020,2020-09-27,132,38,7.894736842105263
9/21/2020,9/27/2020,2020-09-27,140,0,
9/28/2020,10/4/2020,2020-10-04,103,60,0.0
10/5/2020,10/11/2020,2020-10-11,109,63,1.5873015873015872
10/12/2020,10/18/2020,2020-10-18,162,41,0.0
1/1/2020,10/25/2020,2020-10-25,858,20,5.0
10/26/2020,11/1/2020,2020-11-01,0,0,
2/10/2020,11/6/2020,2020-11-06,0,0,
11/2/2020,11/8/2020,2020-11-08,0,0,
11/9/2020,11/15/2020,2020-11-15,0,0,
11/16/2020,11/22/2020,2020-11-22,0,0,
11/23/2020,11/29/2020,2020-11-29,0,0,
11/30/2020,12/6/2020,2020-12-06,0,0,
5/18/2018,12/16/2020,2020-12-16,2968,969,7.946336429308566
1/1/2021,10/3/2021,2021-10-03,179,62,0.0
1/1/2021,11/2/2021,2021-11-02,105,19,5.263157894736842
1/3/2022,1/9/2022,2022-01-09,57,16,0.0
1/10/2022,1/16/2022,2022-01-16,158,67,2.985074626865672
1/17/2022,1/23/2022,2022-01-23,108,0,
1/24/2022,1/30/2022,2022-01-30,37,0,
1/31/2022,2/6/2022,2022-02-06,190,0,
2/7/2022,2/13/2022,2022-02-13,150,28,0.0
2/14/2022,2/20/2022,2022-02-20,42,12,0.0
2/21/2022,2/27/2022,2022-02-27,125,0,
1/24/2021,3/6/2022,2022-03-06,0,0,
2/28/2022,3/6/2022,2022-03-06,208,84,5.952380952380952
3/7/2022,3/13/2022,2022-03-13,187,41,2.4390243902439024
3/14/2022,3/20/2022,2022-03-20,206,126,0.7936507936507936
3/21/2022,3/27/2022,2022-03-27,1352,139,0.7194244604316548
3/28/2022,4/3/2022,2022-04-03,858,126,3.1746031746031744
4/4/2022,4/10/2022,2022-04-10,602,259,1.5444015444015444
4/11/2022,4/17/2022,2022-04-17,0,0,
4/18/2022,4/24/2022,2022-04-24,102,51,1.96078431372549
4/25/2022,5/1/2022,2022-05-01,589,73,2.73972602739726
5/2/2022,5/8/2022,2022-05-08,345,76,1.3157894736842104
5/9/2022,5/15/2022,2022-05-15,404,122,4.098360655737705
5/16/2022,5/22/2022,2022-05-22,157,64,0.0
5/23/2022,5/29/2022,2022-05-29,492,211,0.9478672985781992
5/20/2022,6/2/2022,2022-06-02,0,0,
5/30/2022,6/5/2022,2022-06-05,386,105,0.9523809523809524
6/6/2022,6/12/2022,2022-06-12,368,35,5.714285714285714
6/13/2022,6/19/2022,2022-06-19,176,28,3.571428571428571
6/20/2022,6/26/2022,2022-06-26,139,87,2.2988505747126435
10/25/2021,7/3/2022,2022-07-03,187,1,0.0
6/27/2022,7/3/2022,2022-07-03,340,140,1.4285714285714286
7/17/2022,8/3/2022,2022-08-03,0,0,
8/29/2022,9/8/2022,2022-09-08,447,213,3.286384976525822
9/16/2022,9/22/2022,2022-09-22,66,32,3.125
10/7/2022,10/13/2022,2022-10-13,293,115,5.217391304347826
10/14/2022,10/20/2022,2022-10-20,82,31,3.225806451612903
10/25/2021,10/20/2022,2022-10-20,6174,3994,1.602403605408112
10/10/2022,10/21/2022,2022-10-21,176,0,
10/28/2022,11/3/2022,2022-11-03,246,144,3.4722222222222223
11/4/2022,11/10/2022,2022-11-10,94,20,0.0
11/18/2022,11/24/2022,2022-11-24,89,37,0.0
12/2/2022,12/8/2022,2022-12-08,71,18,0.0
10/1/2021,12/31/2022,2022-12-31,13438,5069,4.340106529887552
12/30/2022,1/5/2023,2023-01-05,75,7,0.0
